Security,Close
Accenture,20.18
Adobe Inc.,8.51
Akamai,-14.26
AMD,97.17
Amphenol,42.21
Analog Devices,55.33
Ansys,20.81
Apple Inc.,109.62
Applied Materials,99.42
Arista Networks,220.83
Autodesk,6.7
Broadcom Inc.,99.67
Cadence Design Systems,189.85
CDW,33.06
Ceridian,-2.44
Cisco,5.2
Cognizant,-5.2
Corning Inc.,10.8
DXC Technology,-37.0
Enphase,556.13
EPAM Systems,27.15
"F5, Inc.",1.32
Fair Isaac,78.25
First Solar,257.58
Fortinet,180.54
Gartner,97.48
Gen Digital,-36.05
Hewlett Packard Enterprise,-10.7
HP Inc.,35.59
IBM,-2.72
Intel,-52.07
Intuit,54.73
Juniper Networks,29.46
Keysight,49.3
KLA Corporation,113.58
Lam Research,72.31
Microchip Technology,52.96
Micron Technology,4.06
Microsoft,69.49
Monolithic Power Systems,174.62
Motorola Solutions,65.88
NetApp,0.32
Nvidia,331.83
NXP Semiconductors,40.46
ON Semiconductor,219.15
Oracle Corporation,61.19
Paycom,-0.53
PTC,55.98
Qorvo,-14.44
Qualcomm,37.35
Roper Technologies,18.35
Salesforce,10.93
Seagate Technology,2.58
ServiceNow,49.41
Skyworks Solutions,-5.38
SolarEdge,167.47
Synopsys,162.89
TE Connectivity,29.07
Teledyne Technologies,17.0
Teradyne,52.84
Texas Instruments,38.27
Trimble Inc.,16.79
Tyler Technologies,6.81
Verisign,0.74
Western Digital,-46.36
Zebra Technologies,12.23
